U1,U2,Jaccard Similarity
52495,99904,0.8379
30525,55033,0.7236
63990,73960,0.5926
47930,90660,0.5606
18867,62898,0.5480
12039,33756,0.5457
18867,34828,0.5372
33367,53267,0.5370
37359,47930,0.5360
12896,47930,0.5332
33756,73538,0.5324
33367,89567,0.5311
16194,78517,0.5297
58328,74191,0.5295
33756,100549,0.5293
64782,97494,0.5283
8002,53267,0.5271
68324,74191,0.5269
33756,68345,0.5267
32306,78973,0.5257
90660,91158,0.5256
18867,74191,0.5250
10233,33756,0.5235
9018,36825,0.5233
46365,74191,0.5230
33756,35419,0.5224
20164,70292,0.5217
56952,82715,0.5214
68875,85467,0.5206
62898,71374,0.5202
47930,89567,0.5192
47930,63260,0.5186
20444,52774,0.5171
53267,68875,0.5168
12039,73538,0.5167
35419,85467,0.5167
63801,96625,0.5166
15162,18867,0.5161
6545,17470,0.5160
74191,99847,0.5153
18867,71374,0.5152
9772,30059,0.5151
53267,79725,0.5147
33756,37207,0.5145
33367,62898,0.5141
16014,78314,0.5138
68324,100079,0.5136
19153,86371,0.5133
37278,96625,0.5131
47113,81870,0.5130
46937,47930,0.5125
36042,70292,0.5123
29807,33146,0.5121
56569,74191,0.5117
8002,33367,0.5117
28512,58328,0.5113
12835,18867,0.5112
20444,70292,0.5106
78517,81963,0.5104
51237,52432,0.5099
96625,100079,0.5098
70292,94019,0.5097
67675,68324,0.5086
18867,84062,0.5086
33367,68875,0.5085
20677,35419,0.5080
38894,78973,0.5077
72733,85467,0.5073
33756,68875,0.5071
26563,47113,0.5067
53267,62898,0.5066
19153,100079,0.5065
35419,81963,0.5062
33756,85467,0.5061
46365,58328,0.5060
6545,96076,0.5059
53267,89567,0.5055
36383,54148,0.5047
33382,51234,0.5046
51234,100079,0.5045
12039,101288,0.5037
18867,92353,0.5035
29807,38031,0.5034
20444,67675,0.5034
66759,83080,0.5033
33382,68324,0.5033
33146,51237,0.5031
55105,67675,0.5021
35419,37207,0.5021
73538,89493,0.5020
53267,86371,0.5020
8002,51237,0.5018
33367,86371,0.5017
46365,81963,0.5015
9018,16793,0.5012
37359,53267,0.5011
9018,37278,0.5008
33367,79725,0.5005
98295,98624,0.5005
